Study,GalaxyName,Redshift,Magnification,ResolvedMass,ResolvedMassLowerErr,ResolvedMassUpperErr,IntegratedMass,IntegratedMassLowerErr,IntegratedMassUpperErr
Lines+24,CRISTAL-11,,1,9.71,0.08,0.08,9.69,0.08,0.07
Lines+24,CRISTAL-13,,1,9.77,0.1,0.11,9.49,0.16,0.08
Lines+24,CRISTAL-15,,1,9.36,0.12,0.1,9.12,0.11,0.14
Lines+24,CRISTAL-17,,1,9.02,0.16,0.14,8.41,0.11,0.12
Giménez-Arteaga+23,8140,6.275,1.7,9.439551079,0.14,0.1,8.909551079,0.02,0.03
Giménez-Arteaga+23,5144,6.383,2.9,8.437602002,0.28,0.2,7.517602002,0.11,0.27
Giménez-Arteaga+23,10612,7.663,1.6,8.555880017,0.31,0.28,7.865880017,0.08,0.13
Giménez-Arteaga+23,6355,7.665,2.7,8.758636236,0.22,0.25,8.408636236,0.06,0.08
Giménez-Arteaga+23,4590,8.498,10.1,8.085678626,0.28,0.23,7.035678626,0.06,0.11
Giménez-Arteaga+24,RXCJ0600-z6-3,6.072,29,8.737602002,0.1,0.2,8.237602002,0.2,0.3
Shen+24,1,0,1,9.138231267,0,0,9.215657099,0,0
Shen+24,2,0,1,9.224642745,0,0,9.252975143,0,0
Shen+24,3,0,1,9.296022419,0,0,9.325557552,0,0
Shen+24,4,0,1,9.369636422,0,0,9.433378971,0,0
Shen+24,5,0,1,9.572841496,0,0,9.585062957,0,0
Shen+24,6,0,1,9.626869468,0,0,9.618023269,0,0
Shen+24,7,0,1,9.711346112,0,0,9.758868384,0,0
Shen+24,8,0,1,9.791354098,0,0,9.829235479,0,0
Shen+24,9,0,1,9.819440087,0,0,9.842410096,0,0
Shen+24,10,0,1,10.04408045,0,0,9.925780668,0,0
Shen+24,11,0,1,10.00120511,0,0,10.06020486,0,0
Shen+24,12,0,1,10.1200096,0,0,10.10628591,0,0
Shen+24,13,0,1,10.09638752,0,0,10.16138668,0,0
Shen+24,14,0,1,10.21531086,0,0,10.26253363,0,0
Shen+24,15,0,1,10.28667627,0,0,10.32850813,0,0
Shen+24,16,0,1,10.32785447,0,0,10.40774282,0,0
Shen+24,17,0,1,10.48356818,0,0,10.55509126,0,0
Shen+24,18,0,1,10.50518412,0,0,10.57047802,0,0
Shen+24,19,0,1,10.84644694,0,0,10.68891963,0,0
Pérez-González+23,1,0,1,8.340163934,0,0,8.126996805,0,0
Pérez-González+23,2,0,1,8.577868852,0,0,8.310702875,0,0
Pérez-González+23,3,0,1,8.553278689,0,0,8.358626198,0,0
Pérez-González+23,4,0,1,8.971311475,0,0,8.650159744,0,0
Pérez-González+23,5,0,1,8.844262295,0,0,8.670127796,0,0
Pérez-González+23,6,0,1,8.680327869,0,0,8.730031949,0,0
Pérez-González+23,7,0,1,8.819672131,0,0,8.885782748,0,0
Pérez-González+23,8,0,1,9.032786885,0,0,8.885782748,0,0
Pérez-González+23,9,0,1,9.135245902,0,0,8.825878594,0,0
Pérez-González+23,10,0,1,9.245901639,0,0,8.845846645,0,0
Pérez-González+23,11,0,1,9.098360656,0,0,9.181309904,0,0
Pérez-González+23,12,0,1,9.176229508,0,0,9.137380192,0,0
Pérez-González+23,13,0,1,9.204918033,0,0,9.29313099,0,0
Pérez-González+23,14,0,1,9.385245902,0,0,9.313099042,0,0
Pérez-González+23,15,0,1,9.43442623,0,0,9.28514377,0,0
Pérez-González+23,16,0,1,9.418032787,0,0,9.269169329,0,0
Pérez-González+23,17,0,1,9.348360656,0,0,9.249201278,0,0
Pérez-González+23,18,0,1,9.37295082,0,0,9.28913738,0,0
Pérez-González+23,19,0,1,9.102459016,0,0,8.258785942,0,0
